السبب,الحرف المنفصل البديل,الحرف المنفصل,الحرف الابتدائي البديل,الحرف الابتدائي,الحرف الوسيط البديل,الحرف الوسيط,الحرف النهائي البديل,الحرف النهائي
"يمكن الخلط بين ب، ت، ث في جميع الحالات أو ن، ي في الأول والوسط",ٮ,ب,ٮـ,بـ,ـٮـ,ـبـ,ـٮ,ـب
"يمكن الخلط بين ب، ت، ث في جميع الحالات أو ن، ي في الأول والوسط",ٮ,ت,ٮـ,تـ,ـٮـ,ـتـ,ـٮ,ـت
"يمكن الخلط بين ب، ت، ث في جميع الحالات أو ن، ي في الأول والوسط",ٮ,ث,ٮـ,ثـ,ـٮـ,ـثـ,ـٮ,ـث
"يمكن الخلط بين ح، خ، ج في جميع الحالات",ح,ج,حـ,جـ,ـحـ,ـجـ,ـح,ـج
"يمكن الخلط بين ح، خ، ج في جميع الحالات",ح,خ,حـ,خـ,ـحـ,ـخـ,ـح,ـخ
"يمكن الخلط بين ذ ود في الشكل النهائي والمنفصل",د,ذ,,,,ـد,ـذ
"يمكن الخلط بين ز ور في الشكل النهائي والمنفصل",ر,ز,,,,ـر,ـز
"يمكن الخلط بين ش وس",س,ش,سـ,شـ,ـسـ,ـشـ,ـس,ـش
"يمكن الخلط بين ض وص",ص,ض,صـ,ضـ,ـصـ,ـضـ,ـص,ـض
"يمكن الخلط بين ظ وط",ط,ظ,طـ,ظـ,ـطـ,ـظـ,ـط,ـظ
"يمكن الخلط بين غ وع",ع,غ,عـ,غـ,ـعـ,ـغـ,ـع,ـغ
"يمكن الخلط بين ف وف في جميع الأشكال",ڡ,ف,ڡـ,فـ,ـڡـ,ـفـ,ـڡ,ـف
"يمكن تمييز ق في الشكل المنفصل والنهاية، ولكن تُخلط في البداية والوسط مع ف",ٯ,ق,ڡـ,قـ,ـڡـ,ـقـ,ـٯ,ـق
"تُخلط في البداية والوسط مع ب، ت، ث أو ن، ي",ں,ن,ٮـ,نـ,ـٮـ,ـنـ,ـں,ـن
"تُخلط في البداية والوسط مع ب، ت، ث أو ن، ي",ى,ي,ٮـ,يـ,ـٮـ,ـيـ,ـى,ـي
"تُشبه الهاء في الشكل النهائي",ه,ة,,,,ـه,ـة
